Event,Timestamp,Reaction Time,Word
Button shown,1690622692.3986368,,
New word shown,1690622693.1325235,,data structure
New word shown,1690622694.2056062,,compiler
Button clicked,1690622694.8638654,2.46522855758667,
New word shown,1690622695.4555793,,algorithm
Button shown,1690622697.884474,,
Button clicked,1690622698.309485,0.42501091957092285,
New word shown,1690622698.586132,,cache
Button shown,1690622699.5220451,,
Button clicked,1690622700.4366853,0.9146401882171631,
New word shown,1690622700.4386933,,CPU
New word shown,1690622701.6062794,,networking
New word shown,1690622702.2017019,,memory
New word shown,1690622702.833777,,object-oriented programming
Button shown,1690622702.8528333,,
New word shown,1690622703.6117723,,"debugging ""123123  """""
New word shown,1690622704.8833625,,public encryption ways to build a future
